,CustomerID,Recency,Frequency,Monetary,KMeans_Cluster,Segment
1,12347.0,2,182,4310.0,3,Loyal
2,12348.0,75,31,1797.24,1,Potential Loyalists
3,12349.0,19,73,1757.55,1,Potential Loyalists
4,12350.0,310,17,334.4,0,At Risk
5,12352.0,36,85,2506.04,1,Potential Loyalists
6,12353.0,204,4,89.0,0,At Risk
7,12354.0,232,58,1079.4,0,At Risk
8,12355.0,214,13,459.4,0,At Risk
9,12356.0,23,59,2811.43,1,Potential Loyalists
10,12357.0,33,131,6207.67,3,Loyal
11,12358.0,2,19,1168.06,1,Potential Loyalists
12,12359.0,58,248,6372.58,3,Loyal
13,12360.0,52,129,2662.06,3,Loyal
14,12361.0,287,10,189.9,0,At Risk
15,12362.0,3,266,5226.23,3,Loyal
16,12363.0,110,23,552.0,1,Potential Loyalists
17,12364.0,8,85,1313.1,1,Potential Loyalists
18,12365.0,291,22,641.38,0,At Risk
19,12367.0,4,11,168.9,1,Potential Loyalists
20,12370.0,51,167,3545.69,3,Loyal
21,12371.0,45,63,1887.96,1,Potential Loyalists
22,12372.0,72,52,1298.04,1,Potential Loyalists
23,12373.0,311,14,364.6,0,At Risk
24,12374.0,25,33,742.9300000000001,1,Potential Loyalists
25,12375.0,11,17,457.5,1,Potential Loyalists
26,12377.0,315,77,1628.12,0,At Risk
27,12378.0,130,219,4008.62,3,Loyal
28,12379.0,82,40,852.24,1,Potential Loyalists
29,12380.0,22,104,2724.81,1,Potential Loyalists
30,12381.0,5,87,1845.31,1,Potential Loyalists
31,12383.0,185,99,1850.56,0,At Risk
32,12384.0,29,27,585.27,1,Potential Loyalists
33,12386.0,338,10,401.9,0,At Risk
34,12388.0,16,100,2780.66,1,Potential Loyalists
35,12390.0,80,32,549.84,1,Potential Loyalists
36,12391.0,22,100,460.89,1,Potential Loyalists
37,12393.0,72,64,1582.6,1,Potential Loyalists
38,12394.0,64,27,1272.48,1,Potential Loyalists
39,12395.0,19,156,3018.63,3,Loyal
40,12397.0,36,126,2409.9,1,Potential Loyalists
41,12398.0,46,85,1635.66,1,Potential Loyalists
42,12399.0,119,59,1108.65,1,Potential Loyalists
43,12401.0,303,5,84.3,0,At Risk
44,12402.0,323,11,225.6,0,At Risk
45,12403.0,50,5,427.7,1,Potential Loyalists
46,12405.0,149,54,1710.39,1,Potential Loyalists
47,12406.0,22,105,3415.3,3,Loyal
48,12407.0,50,77,1708.12,1,Potential Loyalists
49,12408.0,33,105,2888.55,1,Potential Loyalists
50,12409.0,79,109,11072.67,2,High Value
51,12410.0,309,26,693.3299999999999,0,At Risk
52,12412.0,75,61,1226.88,1,Potential Loyalists
53,12413.0,67,38,758.1,1,Potential Loyalists
54,12414.0,217,18,562.41,0,At Risk
56,12417.0,3,192,3649.1,3,Loyal
57,12418.0,113,34,668.58,1,Potential Loyalists
58,12420.0,64,29,600.39,1,Potential Loyalists
59,12421.0,16,45,807.04,1,Potential Loyalists
60,12422.0,96,39,803.5600000000001,1,Potential Loyalists
61,12423.0,1,125,1859.31,1,Potential Loyalists
62,12424.0,163,30,1760.96,0,At Risk
63,12425.0,78,36,777.2,1,Potential Loyalists
64,12426.0,195,30,582.73,0,At Risk
65,12427.0,22,31,825.8,1,Potential Loyalists
66,12428.0,26,294,7956.46,2,High Value
67,12429.0,9,97,3750.4,3,Loyal
68,12430.0,43,11,256.4,1,Potential Loyalists
69,12431.0,36,236,6487.45,3,Loyal
70,12432.0,43,108,5059.32,3,Loyal
71,12433.0,1,420,13375.87,2,High Value
72,12434.0,85,50,806.14,1,Potential Loyalists
73,12435.0,80,36,7829.89,3,Loyal
74,12436.0,100,16,509.01,1,Potential Loyalists
75,12437.0,2,200,4951.41,3,Loyal
76,12438.0,14,98,2906.85,1,Potential Loyalists
77,12441.0,367,11,173.55,0,At Risk
78,12442.0,3,12,172.06,1,Potential Loyalists
79,12444.0,21,177,5005.46,3,Loyal
80,12445.0,22,4,133.4,1,Potential Loyalists
81,12446.0,58,58,1002.31,1,Potential Loyalists
82,12447.0,243,26,476.49,0,At Risk
83,12448.0,44,22,449.45,1,Potential Loyalists
84,12449.0,22,191,4067.29,3,Loyal
85,12450.0,156,8,197.88,0,At Risk
86,12451.0,11,354,9035.52,2,High Value
87,12452.0,17,22,430.57,1,Potential Loyalists
88,12453.0,134,43,707.09,1,Potential Loyalists
89,12454.0,56,15,3528.34,1,Potential Loyalists
90,12455.0,73,90,2466.86,1,Potential Loyalists
91,12456.0,44,125,3181.04,3,Loyal
92,12457.0,66,63,2363.23,1,Potential Loyalists
93,12458.0,71,38,947.4,1,Potential Loyalists
94,12461.0,94,35,826.88,1,Potential Loyalists
95,12462.0,19,62,1189.59,1,Potential Loyalists
96,12463.0,53,83,1344.78,1,Potential Loyalists
97,12464.0,10,29,1212.05,1,Potential Loyalists
98,12465.0,17,47,742.1899999999999,1,Potential Loyalists
99,12468.0,188,38,729.5400000000001,0,At Risk
100,12471.0,2,460,19824.05,2,High Value
101,12472.0,32,339,6572.11,3,Loyal
102,12473.0,29,168,3938.55,3,Loyal
103,12474.0,17,424,7375.79,2,High Value
104,12475.0,54,36,723.38,1,Potential Loyalists
105,12476.0,16,233,6816.42,3,Loyal
106,12477.0,23,300,13219.74,2,High Value
107,12478.0,4,36,680.99,1,Potential Loyalists
108,12479.0,11,31,527.2,1,Potential Loyalists
109,12480.0,28,154,3281.63,3,Loyal
110,12481.0,23,217,5596.32,3,Loyal
111,12483.0,17,75,2484.98,1,Potential Loyalists
112,12484.0,33,346,4541.72,3,Loyal
113,12488.0,10,55,1298.66,1,Potential Loyalists
114,12489.0,336,15,334.93,0,At Risk
115,12490.0,5,245,5417.93,3,Loyal
116,12491.0,39,26,460.4,1,Potential Loyalists
117,12492.0,63,20,263.21000000000004,1,Potential Loyalists
118,12493.0,166,22,433.74,0,At Risk
119,12494.0,16,77,1246.1,1,Potential Loyalists
120,12497.0,82,14,1043.1,1,Potential Loyalists
121,12498.0,21,23,403.7000000000001,1,Potential Loyalists
122,12500.0,23,61,4257.82,1,Potential Loyalists
123,12501.0,337,149,2169.39,0,At Risk
124,12502.0,96,147,3723.87,3,Loyal
125,12504.0,18,9,482.05,1,Potential Loyalists
126,12506.0,233,23,73.5,0,At Risk
127,12507.0,134,22,1304.81,1,Potential Loyalists
128,12508.0,26,69,398.27,1,Potential Loyalists
129,12509.0,284,7,176.5,0,At Risk
130,12510.0,143,33,982.57,1,Potential Loyalists
131,12512.0,66,34,138.03,1,Potential Loyalists
132,12513.0,113,35,612.29,1,Potential Loyalists
133,12514.0,267,51,1017.68,0,At Risk
134,12515.0,353,16,383.7,0,At Risk
135,12516.0,78,26,1312.06,1,Potential Loyalists
136,12517.0,28,284,2502.84,3,Loyal
137,12518.0,1,124,2056.89,1,Potential Loyalists
138,12519.0,64,18,340.84,1,Potential Loyalists
139,12520.0,79,152,2634.26,3,Loyal
140,12521.0,143,38,599.68,1,Potential Loyalists
141,12522.0,39,12,192.72,1,Potential Loyalists
142,12523.0,19,106,1789.77,1,Potential Loyalists
143,12524.0,9,144,4485.72,3,Loyal
144,12526.0,1,71,1316.66,1,Potential Loyalists
145,12527.0,82,18,348.71000000000004,1,Potential Loyalists
146,12528.0,9,92,1933.48,1,Potential Loyalists
147,12530.0,60,66,1662.28,1,Potential Loyalists
148,12531.0,15,17,125.22,1,Potential Loyalists
149,12532.0,30,16,349.83000000000004,1,Potential Loyalists
150,12534.0,131,63,1089.18,1,Potential Loyalists
151,12535.0,92,34,716.35,1,Potential Loyalists
152,12536.0,43,261,12601.830000000002,2,High Value
153,12538.0,29,21,363.95,1,Potential Loyalists
154,12539.0,22,273,5568.35,3,Loyal
155,12540.0,20,478,13400.24,2,High Value
156,12541.0,30,52,981.18,1,Potential Loyalists
157,12544.0,36,19,372.7,1,Potential Loyalists
158,12545.0,75,50,1000.39,1,Potential Loyalists
159,12546.0,47,69,1161.5,1,Potential Loyalists
160,12547.0,198,8,207.8,0,At Risk
161,12548.0,166,5,95.2,0,At Risk
162,12550.0,79,57,964.83,1,Potential Loyalists
163,12551.0,358,10,168.0,0,At Risk
164,12552.0,39,20,437.82,1,Potential Loyalists
165,12553.0,8,191,3692.28,3,Loyal
166,12556.0,50,121,603.71,1,Potential Loyalists
167,12557.0,16,33,11990.96,2,High Value
168,12558.0,8,11,269.96,1,Potential Loyalists
169,12559.0,311,21,561.71,0,At Risk
170,12560.0,5,105,2134.01,1,Potential Loyalists
171,12561.0,303,16,238.85,0,At Risk
172,12562.0,8,168,3781.74,3,Loyal
173,12564.0,261,21,456.9,0,At Risk
174,12565.0,289,9,145.92,0,At Risk
175,12566.0,86,19,351.65,1,Potential Loyalists
176,12567.0,23,446,9401.28,2,High Value
177,12569.0,2,188,4124.69,3,Loyal
178,12571.0,40,34,519.61,1,Potential Loyalists
179,12572.0,9,60,1020.42,1,Potential Loyalists
180,12573.0,227,28,160.54000000000002,0,At Risk
181,12574.0,316,11,218.45,0,At Risk
182,12576.0,36,88,1315.83,1,Potential Loyalists
183,12577.0,35,147,657.8,1,Potential Loyalists
184,12578.0,21,114,2794.51,1,Potential Loyalists
185,12579.0,78,29,440.42,1,Potential Loyalists
186,12580.0,247,24,415.7,0,At Risk
187,12581.0,40,15,197.71,1,Potential Loyalists
188,12582.0,239,22,511.36,0,At Risk
189,12583.0,3,247,7281.38,3,Loyal
190,12584.0,4,96,2338.15,1,Potential Loyalists
191,12585.0,234,87,2040.1,0,At Risk
192,12586.0,17,11,196.94000000000003,1,Potential Loyalists
193,12587.0,8,4,144.0,1,Potential Loyalists
194,12588.0,39,10,214.9,1,Potential Loyalists
195,12589.0,29,35,646.68,1,Potential Loyalists
196,12590.0,211,68,9864.26,2,High Value
197,12591.0,317,26,452.85,0,At Risk
198,12592.0,92,18,437.6,1,Potential Loyalists
199,12593.0,109,21,418.1,1,Potential Loyalists
200,12594.0,38,118,3338.2200000000003,3,Loyal
201,12596.0,51,27,618.27,1,Potential Loyalists
202,12597.0,19,206,3811.22,3,Loyal
203,12598.0,10,132,3023.08,3,Loyal
204,12599.0,29,62,1032.58,1,Potential Loyalists
205,12600.0,29,64,2599.04,1,Potential Loyalists
206,12601.0,190,28,577.0600000000001,0,At Risk
207,12602.0,59,12,153.12,1,Potential Loyalists
208,12603.0,22,3,739.1999999999999,1,Potential Loyalists
209,12604.0,79,16,254.18,1,Potential Loyalists
210,12607.0,60,101,1579.51,1,Potential Loyalists
211,12609.0,78,60,1126.85,1,Potential Loyalists
212,12610.0,23,106,2099.54,1,Potential Loyalists
213,12611.0,52,65,1193.32,1,Potential Loyalists
214,12612.0,74,19,704.0400000000001,1,Potential Loyalists
215,12613.0,57,153,3344.38,3,Loyal
216,12614.0,278,20,315.6,0,At Risk
217,12615.0,2,105,2291.19,1,Potential Loyalists
218,12616.0,95,32,713.3,1,Potential Loyalists
219,12617.0,29,42,355.53,1,Potential Loyalists
220,12618.0,22,11,177.31,1,Potential Loyalists
221,12619.0,16,90,3641.24,1,Potential Loyalists
222,12620.0,15,92,1339.41,1,Potential Loyalists
223,12621.0,2,467,13689.67,2,High Value
224,12622.0,232,11,180.1,0,At Risk
225,12623.0,276,18,305.1,0,At Risk
226,12624.0,106,38,641.13,1,Potential Loyalists
227,12625.0,212,86,2683.82,0,At Risk
228,12626.0,23,294,6620.48,3,Loyal
229,12627.0,11,230,4478.53,3,Loyal
230,12628.0,4,41,786.46,1,Potential Loyalists
231,12630.0,10,64,1270.88,1,Potential Loyalists
232,12631.0,57,31,640.5,1,Potential Loyalists
233,12633.0,59,101,2163.98,1,Potential Loyalists
234,12635.0,90,101,1689.18,1,Potential Loyalists
235,12637.0,67,390,6021.9,3,Loyal
236,12638.0,33,39,671.69,1,Potential Loyalists
237,12639.0,239,22,486.1,0,At Risk
238,12640.0,24,53,1174.58,1,Potential Loyalists
239,12641.0,115,10,185.9,1,Potential Loyalists
240,12642.0,25,47,1013.26,1,Potential Loyalists
241,12643.0,128,24,3344.64,1,Potential Loyalists
242,12644.0,130,31,477.91,1,Potential Loyalists
243,12645.0,34,73,1775.18,1,Potential Loyalists
244,12646.0,5,45,1346.97,1,Potential Loyalists
245,12647.0,22,122,3722.82,3,Loyal
246,12648.0,155,21,318.05,0,At Risk
247,12649.0,107,31,623.51,1,Potential Loyalists
248,12650.0,3,20,314.44,1,Potential Loyalists
249,12651.0,335,9,114.0,0,At Risk
250,12652.0,331,48,919.98,0,At Risk
251,12653.0,149,43,2209.85,1,Potential Loyalists
252,12654.0,11,38,601.98,1,Potential Loyalists
253,12656.0,17,126,4051.17,3,Loyal
254,12657.0,11,47,1643.18,1,Potential Loyalists
255,12658.0,19,36,686.05,1,Potential Loyalists
256,12659.0,30,5,91.68,1,Potential Loyalists
257,12660.0,11,13,245.1,1,Potential Loyalists
258,12662.0,1,230,3849.78,3,Loyal
259,12664.0,8,37,4881.88,1,Potential Loyalists
260,12665.0,325,3,63.0,0,At Risk
261,12667.0,58,33,620.13,1,Potential Loyalists
262,12668.0,12,161,3807.15,3,Loyal
263,12669.0,151,101,2744.03,1,Potential Loyalists
264,12670.0,10,92,2996.05,1,Potential Loyalists
265,12672.0,330,10,225.9,0,At Risk
266,12673.0,5,42,610.52,1,Potential Loyalists
267,12674.0,39,83,1970.6,1,Potential Loyalists
268,12676.0,25,45,1331.39,1,Potential Loyalists
269,12678.0,42,165,17628.46,2,High Value
270,12679.0,59,48,1113.02,1,Potential Loyalists
271,12680.0,1,52,862.81,1,Potential Loyalists
273,12682.0,4,525,12288.22,2,High Value
274,12683.0,4,344,8476.57,2,High Value
275,12684.0,8,105,2283.63,1,Potential Loyalists
276,12685.0,28,157,2863.08,3,Loyal
277,12686.0,372,7,89.14,0,At Risk
278,12688.0,114,171,4873.81,3,Loyal
